User's manual r01uh0637jj0220-rl78g11; Version 1.00; April 22, 2019
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(1/2),,,
ADTYP,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(2/2),2,,
AWC,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(2/2),2,,
ADRCK,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(2/2),2,,
ADUL,16.3.9 変換結果比較上限値設定レジスタ(ADUL),図16-13変換結果比較上限値設定レジスタ(ADUL)のフォーマット,,,
ADLL,16.3.10 変換結果比較下限値設定レジスタ(ADLL),図16-14変換結果比較下限値設定レジスタ(ADLL)のフォーマット,,,
ADTES,16.3.11 A/Dテスト・レジスタ(ADTES),図16-15A/Dテスト・レジスタ(ADTES)のフォーマット,,A/Dコンバータ,
ADTES,28.3.8 A/Dテスト機能,図28-16A/Dテスト・レジスタ(ADTES)のフォーマット,,安全機能,
PU0,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU3,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU4,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU5,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU12,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PIM0,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
PIM3,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
PIM4,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
PIM5,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
POM0,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
POM3,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
POM4,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
POM5,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
PMC0,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC2,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,ポート機能,
PMC2,18.3.5 ポート・モード・コントロール・レジスタ2（PMC2）,図18-6ポート・モード・コントロール・レジスタ2（PMC2）のフォーマット,,プログラマブル・ゲイン・アンプ(PGA),
PMC3,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC5,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,,
NFEN0,13.3.17 ノイズ・フィルタ許可レジスタ0 (NFEN0),図13-22ノイズ・フィルタ許可レジスタ0(NFEN0)のフォーマット,,,
NFEN1,7.3.15 ノイズ・フィルタ許可レジスタ1 (NFEN1),図7-23ノイズ・フィルタ許可レジスタ1(NFEN1)のフォーマット,,,
ISC,7.3.14 入力切り替え制御レジスタ(ISC),図7-22入力切り替え制御レジスタ(ISC)のフォーマット,,タイマ・アレイ・ユニット,
ISC,13.3.16 入力切り替え制御レジスタ(ISC),図13-21入力切り替え制御レジスタ(ISC)のフォーマット,,シリアル・アレイ・ユニット,
SSIE00,13.3.16 入力切り替え制御レジスタ(ISC),図13-21入力切り替え制御レジスタ(ISC)のフォーマット,2,シリアル・アレイ・ユニット,
TIS0,7.3.9 タイマ入力選択レジスタ0 (TIS0),図7-17タイマ入力選択レジスタ0(TIS0)のフォーマット,,タイマ・アレイ・ユニット,
TIS0,28.3.7 周波数検出機能,図28-14タイマ入力選択レジスタ0(TIS0)のフォーマット,,安全機能,
PIOR2,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
PIOR0,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
IAWCTL,28.3.4 RAMガード機能,図28-9不正メモリ・アクセス検出制御レジスタ(IAWCTL)のフォーマット,,RAMガード機能,
IAWCTL,28.3.5 SFRガード機能,図28-10不正メモリ・アクセス検出制御レジスタ(IAWCTL)のフォーマット,,SFRガード機能,
IAWCTL,28.3.6 不正メモリ・アクセス検出機能,図28-12不正メモリ・アクセス検出制御レジスタ(IAWCTL)のフォーマット,,不正メモリ・アクセス検出機能,
PIOR1,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
PMS,28.3.9 入出力端子のデジタル出力信号レベル検出機能,図28-18ポート・モード選択レジスタ(PMS)のフォーマット,,,
PIOR3,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
GDIDIS,4.3.8 グローバル・デジタル・インプット・ディスエーブル・レジスタ(GDIDIS),図4-8グローバル・デジタル・インプット・ディスエーブル・レジスタ(GDIDIS),,,
DFLCTL,31.8.2 データ・フラッシュを制御するレジスタ,図31-12データ・フラッシュ・コントロール・レジスタ(DFLCTL)のフォーマット,,,
DFLEN,31.8.2 データ・フラッシュを制御するレジスタ,図31-12データ・フラッシュ・コントロール・レジスタ(DFLCTL)のフォーマット,2,,
HIOTRM,6.3.10 高速オンチップ・オシレータ・トリミング・レジスタ(HIOTRM),図6-13高速オンチップ・オシレータ・トリミング・レジスタ(HIOTRM)のフォーマット,,,
HOCODIV,6.3.9 高速オンチップ・オシレータ周波数選択レジスタ(HOCODIV),図6-12高速オンチップ・オシレータ周波数選択レジスタ(HOCODIV)のフォーマット,,,
FLMODE,5.2.1 フラッシュ動作モード選択レジスタ (FLMODE),図5-2フラッシュ動作モード選択レジスタ(FLMODE)のフォーマット,,,
CFLSTOP,5.2.1 フラッシュ動作モード選択レジスタ (FLMODE),図5-2フラッシュ動作モード選択レジスタ(FLMODE)のフォーマット,2,,
MODE0,5.2.1 フラッシュ動作モード選択レジスタ (FLMODE),図5-2フラッシュ動作モード選択レジスタ(FLMODE)のフォーマット,2,,MODE1
MODE1,5.2.1 フラッシュ動作モード選択レジスタ (FLMODE),図5-2フラッシュ動作モード選択レジスタ(FLMODE)のフォーマット,2,,
FLMWRP,5.2.2 フラッシュ動作モード・プロテクト・レジスタ (FLMWRP),図5-3フラッシュ動作モード・プロテクト・レジスタ(FLMWRP)のフォーマット,,,
FLMWEN,5.2.2 フラッシュ動作モード・プロテクト・レジスタ (FLMWRP),図5-3フラッシュ動作モード・プロテクト・レジスタ(FLMWRP)のフォーマット,2,,
PER0,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-8周辺イネーブル・レジスタ0(PER0)のフォーマット,,クロック発生回路,
TAU0EN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-8周辺イネーブル・レジスタ0(PER0)のフォーマット,2,クロック発生回路,
SAU0EN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-8周辺イネーブル・レジスタ0(PER0)のフォーマット,2,クロック発生回路,
IICA0EN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-8周辺イネーブル・レジスタ0(PER0)のフォーマット,2,クロック発生回路,
ADCEN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-8周辺イネーブル・レジスタ0(PER0)のフォーマット,2,クロック発生回路,
IICA1EN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-8周辺イネーブル・レジスタ0(PER0)のフォーマット,2,クロック発生回路,
PER0,7.3.1 周辺イネーブル・レジスタ0 (PER0),図7-9周辺イネーブル・レジスタ0(PER0)のフォーマット,,タイマ・アレイ・ユニット,
TAU0EN,7.3.1 周辺イネーブル・レジスタ0 (PER0),図7-9周辺イネーブル・レジスタ0(PER0)のフォーマット,2,タイマ・アレイ・ユニット,
PER0,13.3.1 周辺イネーブル・レジスタ0 (PER0),図13-4周辺イネーブル・レジスタ0(PER0)のフォーマット,,シリアル・アレイ・ユニット,
SAU0EN,13.3.1 周辺イネーブル・レジスタ0 (PER0),図13-4周辺イネーブル・レジスタ0(PER0)のフォーマット,1,シリアル・アレイ・ユニット,SAUmEN
PER0,14.3.1 周辺イネーブル・レジスタ0 (PER0),図14-5周辺イネーブル・レジスタ0(PER0)のフォーマット,,シリアル・インタフェースIICA,
IICA0EN,14.3.1 周辺イネーブル・レジスタ0 (PER0),図14-5周辺イネーブル・レジスタ0(PER0)のフォーマット,1,シリアル・インタフェースIICA,IICAnEN
IICA1EN,14.3.1 周辺イネーブル・レジスタ0 (PER0),図14-5周辺イネーブル・レジスタ0(PER0)のフォーマット,1,シリアル・インタフェースIICA,IICAnEN
PER0,16.3.1 周辺イネーブル・レジスタ0 (PER0),図16-2周辺イネーブル・レジスタ0(PER0)のフォーマット,,A/Dコンバータ,
ADCEN,16.3.1 周辺イネーブル・レジスタ0 (PER0),図16-2周辺イネーブル・レジスタ0(PER0)のフォーマット,2,A/Dコンバータ,
PRR0,7.3.2 周辺リセット制御レジスタ0 (PRR0),図7-10周辺リセット制御レジスタ0(PRR0)のフォーマット,,タイマ・アレイ・ユニット,
TAU0RES,7.3.2 周辺リセット制御レジスタ0 (PRR0),図7-10周辺リセット制御レジスタ0(PRR0)のフォーマット,2,タイマ・アレイ・ユニット,
PRR0,13.3.2 周辺リセット制御レジスタ0 (PRR0),図13-5周辺リセット制御レジスタ0(PRR0)のフォーマット,,シリアル・アレイ・ユニット,
SAU0RES,13.3.2 周辺リセット制御レジスタ0 (PRR0),図13-5周辺リセット制御レジスタ0(PRR0)のフォーマット,2,シリアル・アレイ・ユニット,
PRR0,14.3.2 周辺リセット制御レジスタ0 (PRR0),図14-6周辺リセット制御レジスタ0(PRR0)のフォーマット,,シリアル・インタフェースIICA,
IICA0RES,14.3.2 周辺リセット制御レジスタ0 (PRR0),図14-6周辺リセット制御レジスタ0(PRR0)のフォーマット,2,シリアル・インタフェースIICA,
IICA1RES,14.3.2 周辺リセット制御レジスタ0 (PRR0),図14-6周辺リセット制御レジスタ0(PRR0)のフォーマット,2,シリアル・インタフェースIICA,
PRR0,16.3.2 周辺リセット制御レジスタ0 (PRR0),図16-3周辺リセット制御レジスタ0(PRR0)のフォーマット,,A/Dコンバータ,
ADCRES,16.3.2 周辺リセット制御レジスタ0 (PRR0),図16-3周辺リセット制御レジスタ0(PRR0)のフォーマット,2,A/Dコンバータ,
PRR0,25.2.2 周辺リセット制御レジスタ0 (PRR0),図25-6周辺リセット制御レジスタ0(PRR0)のフォーマット,,リセット機能,
MOCODIV,6.3.11 中速オンチップ・オシレータ周波数選択レジスタ (MOCODIV),図6-14中速オンチップ・オシレータ周波数選択レジスタ(MOCODIV)のフォーマット,,,
OSMC,6.3.8 動作スピード・モード制御レジスタ(OSMC),図6-11動作スピード・モード制御レジスタ(OSMC)のフォーマット,,クロック発生回路,
WUTMMCK0,6.3.8 動作スピード・モード制御レジスタ(OSMC),図6-11動作スピード・モード制御レジスタ(OSMC)のフォーマット,2,クロック発生回路,
OSMC,8.3.3 動作スピード・モード制御レジスタ(OSMC),図8-4動作スピード・モード制御レジスタ(OSMC)のフォーマット,,12ビット・インターバル・タイマ,
WUTMMCK0,8.3.3 動作スピード・モード制御レジスタ(OSMC),図8-4動作スピード・モード制御レジスタ(OSMC)のフォーマット,2,12ビット・インターバル・タイマ,
RPECTL,28.3.3 RAMパリティ・エラー検出機能,図28-7RAMパリティ・エラー制御レジスタ(RPECTL)のフォーマット,,,
RPEF,28.3.3 RAMパリティ・エラー検出機能,図28-7RAMパリティ・エラー制御レジスタ(RPECTL)のフォーマット,2,,
RPERDIS,28.3.3 RAMパリティ・エラー検出機能,図28-7RAMパリティ・エラー制御レジスタ(RPECTL)のフォーマット,2,,
PMMC,5.2.3 レギュレータ・モード制御レジスタ (PMMC),図5-4レギュレータ・モード制御レジスタ(PMMC)のフォーマット,,オペレーション・ステート・コントロール,
MCSEL,5.2.3 レギュレータ・モード制御レジスタ (PMMC),図5-4レギュレータ・モード制御レジスタ(PMMC)のフォーマット,2,オペレーション・ステート・コントロール,
PMMC,29.2.1 レギュレータ・モード制御レジスタ (PMMC),図29-1レギュレータ・モード制御レジスタ(PMMC)のフォーマット,,レギュレータ,
MCSEL,29.2.1 レギュレータ・モード制御レジスタ (PMMC),図29-1レギュレータ・モード制御レジスタ(PMMC)のフォーマット,2,レギュレータ,
PER1,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-9周辺イネーブル・レジスタ1(PER1)のフォーマット,,クロック発生回路,
PGA0EN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-9周辺イネーブル・レジスタ1(PER1)のフォーマット,2,クロック発生回路,
DTCEN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-9周辺イネーブル・レジスタ1(PER1)のフォーマット,2,クロック発生回路,
CMPEN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-9周辺イネーブル・レジスタ1(PER1)のフォーマット,2,クロック発生回路,
DACEN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-9周辺イネーブル・レジスタ1(PER1)のフォーマット,2,クロック発生回路,
PER1,17.3.1 周辺イネーブル・レジスタ1 (PER1),図17-2周辺イネーブル・レジスタ1(PER1)のフォーマット,,D/Aコンバータ,
DACEN,17.3.1 周辺イネーブル・レジスタ1 (PER1),図17-2周辺イネーブル・レジスタ1(PER1)のフォーマット,2,D/Aコンバータ,
PER1,18.3.1 周辺イネーブル・レジスタ1 (PER1),図18-2周辺イネーブル・レジスタ1(PER1)のフォーマット,,プログラマブル・ゲイン・アンプ(PGA),
PGA0EN,18.3.1 周辺イネーブル・レジスタ1 (PER1),図18-2周辺イネーブル・レジスタ1(PER1)のフォーマット,2,プログラマブル・ゲイン・アンプ(PGA),
PER1,19.3.1 周辺イネーブル・レジスタ1 (PER1),図19-2周辺イネーブル・レジスタ1(PER1)のフォーマット,,コンパレータ,
CMPEN,19.3.1 周辺イネーブル・レジスタ1 (PER1),図19-2周辺イネーブル・レジスタ1(PER1)のフォーマット,2,コンパレータ,
PER1,20.3.4 周辺イネーブル・レジスタ1 (PER1),図20-5周辺イネーブル・レジスタ1(PER1)のフォーマット,,データ・トランスファ・コントローラ(DTC),
DTCEN,20.3.4 周辺イネーブル・レジスタ1 (PER1),図20-5周辺イネーブル・レジスタ1(PER1)のフォーマット,2,データ・トランスファ・コントローラ(DTC),
PRR1,17.3.2 周辺リセット制御レジスタ1 (PRR1),図17-3周辺リセット制御レジスタ1(PRR1)のフォーマット,,D/Aコンバータ,
DACRES,17.3.2 周辺リセット制御レジスタ1 (PRR1),図17-3周辺リセット制御レジスタ1(PRR1)のフォーマット,2,D/Aコンバータ,
PRR1,18.3.2 周辺リセット制御レジスタ1 (PRR1),図18-3周辺リセット制御レジスタ1(PRR1)のフォーマット,,プログラマブル・ゲイン・アンプ(PGA),
PGA0RES,18.3.2 周辺リセット制御レジスタ1 (PRR1),図18-3周辺リセット制御レジスタ1(PRR1)のフォーマット,2,プログラマブル・ゲイン・アンプ(PGA),
PRR1,19.3.2 周辺リセット制御レジスタ1 (PRR1),図19-3周辺リセット制御レジスタ1(PRR1)のフォーマット,,コンパレータ,
CMPRES,19.3.2 周辺リセット制御レジスタ1 (PRR1),図19-3周辺リセット制御レジスタ1(PRR1)のフォーマット,2,コンパレータ,
PRR1,25.2.3 周辺リセット制御レジスタ1 (PRR1),図25-7周辺リセット制御レジスタ1(PRR1)のフォーマット,,リセット機能,
PER2,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-10周辺イネーブル・レジスタ2(PER2)のフォーマット,,クロック発生回路,
TKB0EN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-10周辺イネーブル・レジスタ2(PER2)のフォーマット,2,クロック発生回路,
DOCEN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-10周辺イネーブル・レジスタ2(PER2)のフォーマット,2,クロック発生回路,
TMKAEN,"6.3.7 周辺イネーブル・レジスタ0, 1, 2 (PER0, PER1, PER2)",図6-10周辺イネーブル・レジスタ2(PER2)のフォーマット,2,クロック発生回路,
PER2,8.3.1 周辺イネーブル・レジスタ2 (PER2),図8-2周辺イネーブル・レジスタ2(PER2)のフォーマット,,12ビット・インターバル・タイマ,
TMKAEN,8.3.1 周辺イネーブル・レジスタ2 (PER2),図8-2周辺イネーブル・レジスタ2(PER2)のフォーマット,2,12ビット・インターバル・タイマ,
PER2,10.3.1 周辺イネーブル・レジスタ2（PER2）,図10-4周辺イネーブル・レジスタ2（PER2）のフォーマット,,16ビット・タイマKB0,
TKB0EN,10.3.1 周辺イネーブル・レジスタ2（PER2）,図10-4周辺イネーブル・レジスタ2（PER2）のフォーマット,2,16ビット・タイマKB0,
PER2,15.2.1 周辺イネーブル・レジスタ2 (PER2),図15-2周辺イネーブル・レジスタ2(PER2)のフォーマット,,データ演算回路(DOC),
DOCEN,15.2.1 周辺イネーブル・レジスタ2 (PER2),図15-2周辺イネーブル・レジスタ2(PER2)のフォーマット,2,データ演算回路(DOC),
PRR2,8.3.2 周辺リセット制御レジスタ2 (PRR2),図8-3周辺リセット制御レジスタ2(PRR2)のフォーマット,,12ビット・インターバル・タイマ,
TMKARES,8.3.2 周辺リセット制御レジスタ2 (PRR2),図8-3周辺リセット制御レジスタ2(PRR2)のフォーマット,2,12ビット・インターバル・タイマ,
PRR2,10.3.2 周辺リセット制御レジスタ2 (PRR2),図10-5周辺リセット制御レジスタ2(PRR2)のフォーマット,,16ビット・タイマKB0,
TKB0RES,10.3.2 周辺リセット制御レジスタ2 (PRR2),図10-5周辺リセット制御レジスタ2(PRR2)のフォーマット,2,16ビット・タイマKB0,
PRR2,15.2.2 周辺リセット制御レジスタ2 (PRR2),図15-3周辺リセット制御レジスタ2(PRR2)のフォーマット,,データ演算回路(DOC),
DOCRES,15.2.2 周辺リセット制御レジスタ2 (PRR2),図15-3周辺リセット制御レジスタ2(PRR2)のフォーマット,2,データ演算回路(DOC),
PRR2,25.2.4 周辺リセット制御レジスタ2 (PRR2),図25-8周辺リセット制御レジスタ2(PRR2)のフォーマット,,リセット機能,
BCDADJ,33.2.1 BCD補正結果レジスタ(BCDADJ),図33-1BCD補正結果レジスタ(BCDADJ)のフォーマット,,,
SSR00,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR00L,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR01,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR01L,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR02,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR02L,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR03,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SSR03L,13.3.8 シリアル・ステータス・レジスタmn (SSRmn),図13-11シリアル・ステータス・レジスタmn(SSRmn)のフォーマット(1/2),,,
SIR00,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR00L,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR01,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR01L,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR02,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR02L,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR03,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SIR03L,13.3.7 シリアル・フラグ・クリア・トリガ・レジスタmn (SIRmn),図13-10シリアル・フラグ・クリア・トリガ・レジスタmn(SIRmn)のフォーマット,,,
SMR00,13.3.4 シリアル・モード・レジスタmn (SMRmn),図13-7シリアル・モード・レジスタmn(SMRmn)のフォーマット(1/2),,,
SMR01,13.3.4 シリアル・モード・レジスタmn (SMRmn),図13-7シリアル・モード・レジスタmn(SMRmn)のフォーマット(1/2),,,
SMR02,13.3.4 シリアル・モード・レジスタmn (SMRmn),図13-7シリアル・モード・レジスタmn(SMRmn)のフォーマット(1/2),,,
SMR03,13.3.4 シリアル・モード・レジスタmn (SMRmn),図13-7シリアル・モード・レジスタmn(SMRmn)のフォーマット(1/2),,,
SCR00,13.3.5 シリアル通信動作設定レジスタmn (SCRmn),図13-8シリアル通信動作設定レジスタmn(SCRmn)のフォーマット(1/2),,,
SCR01,13.3.5 シリアル通信動作設定レジスタmn (SCRmn),図13-8シリアル通信動作設定レジスタmn(SCRmn)のフォーマット(1/2),,,
SCR02,13.3.5 シリアル通信動作設定レジスタmn (SCRmn),図13-8シリアル通信動作設定レジスタmn(SCRmn)のフォーマット(1/2),,,
SCR03,13.3.5 シリアル通信動作設定レジスタmn (SCRmn),図13-8シリアル通信動作設定レジスタmn(SCRmn)のフォーマット(1/2),,,
SE0,13.3.11 シリアル・チャネル許可ステータス・レジスタm (SEm),図13-14シリアル・チャネル許可ステータス・レジスタm(SEm)のフォーマット,,,
SE0L,13.3.11 シリアル・チャネル許可ステータス・レジスタm (SEm),図13-14シリアル・チャネル許可ステータス・レジスタm(SEm)のフォーマット,,,
SS0,13.3.9 シリアル・チャネル開始レジスタm (SSm),図13-12シリアル・チャネル開始レジスタm(SSm)のフォーマット,,,
SS0L,13.3.9 シリアル・チャネル開始レジスタm (SSm),図13-12シリアル・チャネル開始レジスタm(SSm)のフォーマット,,,
ST0,13.3.10 シリアル・チャネル停止レジスタm (STm),図13-13シリアル・チャネル停止レジスタm(STm)のフォーマット,,,
ST0L,13.3.10 シリアル・チャネル停止レジスタm (STm),図13-13シリアル・チャネル停止レジスタm(STm)のフォーマット,,,
SPS0,13.3.3 シリアル・クロック選択レジスタm (SPSm),図13-6シリアル・クロック選択レジスタm(SPSm)のフォーマット,,,
SPS0L,13.3.3 シリアル・クロック選択レジスタm (SPSm),図13-6シリアル・クロック選択レジスタm(SPSm)のフォーマット,,,
SO0,13.3.13 シリアル出力レジスタm (SOm),図13-16シリアル出力レジスタm(SOm)のフォーマット,,,
SOE0,13.3.12 シリアル出力許可レジスタm (SOEm),図13-15シリアル出力許可レジスタm(SOEm)のフォーマット,,,
SOE0L,13.3.12 シリアル出力許可レジスタm (SOEm),図13-15シリアル出力許可レジスタm(SOEm)のフォーマット,,,
SOL0,13.3.14 シリアル出力レベル・レジスタm (SOLm),図13-17シリアル出力レベル・レジスタm(SOLm)のフォーマット,,,
SOL0L,13.3.14 シリアル出力レベル・レジスタm (SOLm),図13-17シリアル出力レベル・レジスタm(SOLm)のフォーマット,,,
SSC0,13.3.15 シリアル・スタンバイ・コントロール・レジスタm (SSCm),図13-19シリアル・スタンバイ・コントロール・レジスタm(SSCm)のフォーマット,,,
SSC0L,13.3.15 シリアル・スタンバイ・コントロール・レジスタm (SSCm),図13-19シリアル・スタンバイ・コントロール・レジスタm(SSCm)のフォーマット,,,
TCR00,7.2.1 タイマ・カウンタ・レジスタmn (TCRmn),図7-6タイマ・カウンタ・レジスタmn(TCRmn)のフォーマット,,,
